station_id,name,physical_configuration,lat,lon,altitude,address,capacity,rental_methods,groups,obcn,nearby_distance,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,post_code,cross_street,Last Updated
7000,Fort York  Blvd / Capreol Ct,REGULAR,43.639832,-79.395954,0.0,Fort York  Blvd / Capreol Ct,35,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9607,500.0,11,2,22,0,1,1,1,1604944595,False,IN_SERVICE,11,0,,,2020-11-09 13:00:40
7001,Lower Jarvis St / The Esplanade,REGULAR,43.64783,-79.370698,0.0,Lower Jarvis St / The Esplanade,15,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],416-617-9576,500.0,4,0,11,0,1,1,1,1604944791,False,IN_SERVICE,4,0,M5E 1R8,,2020-11-09 13:00:40
7002,St. George St / Bloor St W,REGULAR,43.667333,-79.399429,0.0,St. George St / Bloor St W,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9615,500.0,0,0,19,0,1,1,1,1604944760,False,IN_SERVICE,0,0,,,2020-11-09 13:00:40
7003,Madison Ave / Bloor St W,REGULAR,43.667158,-79.402761,,Madison Ave / Bloor St W,15,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-631-4587,500.0,2,0,13,0,1,1,1,1604944800,False,IN_SERVICE,2,0,,,2020-11-09 13:00:40
7004,University Ave / Elm St,REGULAR,43.656518,-79.389099,,University Ave / Elm St,11,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7004-7047'],647-643-9673,500.0,8,0,3,0,1,1,1,1604944813,False,IN_SERVICE,8,0,,,2020-11-09 13:00:40
7005,King St W / York St,REGULAR,43.6480008,-79.383177,0.0,King St W / York St,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9693,500.0,17,0,1,0,1,1,1,1604944688,False,IN_SERVICE,17,0,,,2020-11-09 13:00:40
7006,Bay St / College St (East Side),REGULAR,43.660439,-79.385525,0.0,Bay St / College St (East Side),11,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7006-7235'],416-569-2349,500.0,10,0,1,0,1,1,1,1604944614,False,IN_SERVICE,10,0,,,2020-11-09 13:00:40
7007,College St / Huron St,REGULAR,43.658148,-79.398167,0.0,College St / Huron St,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-625-3582,500.0,4,0,15,0,1,1,1,1604944788,False,IN_SERVICE,4,0,,,2020-11-09 13:00:40
7008,Wellesley St / Queen's Park Cres,REGULAR,43.663376,-79.392125,0.0,Wellesley St W / Queen's Park Cres,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9648,500.0,3,0,16,0,1,1,1,1604944815,False,IN_SERVICE,3,0,,,2020-11-09 13:00:40
7009,King St E / Jarvis St,REGULAR,43.650325,-79.372287,0.0,King St E / Jarvis St,25,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-620-8649,500.0,11,0,14,0,1,1,1,1604944774,False,IN_SERVICE,11,0,,,2020-11-09 13:00:40
7010,King St W / Spadina Ave,REGULAR,43.645323,-79.395003,0.0,King St W / Spadina Ave,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-202-6537,500.0,19,0,0,0,1,1,1,1604944708,False,IN_SERVICE,19,0,,,2020-11-09 13:00:40
7011,Wellington St W / Portland St,REGULAR,43.642982,-79.399256,0.0,Wellington St W / Portland St,11,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7011-7123'],416-624-4001,500.0,7,0,4,0,1,1,1,1604944622,False,IN_SERVICE,7,0,,,2020-11-09 13:00:40
7012,Elizabeth St / Edward St (Bus Terminal),REGULAR,43.656026,-79.385327,0.0,Elizabeth St / Edward St (Bus Terminal),15,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-643-9665,500.0,9,0,5,0,1,1,1,1604944759,False,IN_SERVICE,9,0,,,2020-11-09 13:00:40
7013,Scott St / The Esplanade,REGULAR,43.64656,-79.375274,0.0,Scott St / The Esplanade,19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",['P7375-7013'],416-666-6440,500.0,11,0,8,0,1,1,1,1604944773,False,IN_SERVICE,11,0,,,2020-11-09 13:00:40
7014,Sherbourne St / Carlton St (Allan Gardens),REGULAR,43.663102,-79.373181,0.0,Sherbourne St / Carlton St (Allan Gardens),17,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],416-710-6764,500.0,8,0,9,0,1,1,1,1604944808,False,IN_SERVICE,8,0,,,2020-11-09 13:00:40
7015,King St W / Bay St (West Side),REGULAR,43.64852,-79.380576,0.0,King St W / Bay St (West Side),19,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],416-671-7595,500.0,17,0,2,0,1,1,1,1604944742,False,IN_SERVICE,17,0,,,2020-11-09 13:00:40
7016,Bay St / Queens Quay W (Ferry Terminal),REGULAR,43.640823,-79.376265,0.0,Bay St / Queens Quay W (Ferry Terminal),23,"['KEY', 'CREDITCARD', 'TRANSITCARD', 'PHONE']",[],647-271-1378,500.0,16,0,7,0,1,1,1,1604944704,False,IN_SERVICE,16,0,,,2020-11-09 13:00:40
